"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"17.05.2016 11:59:06 GMT+00:00","6744337932","Bestellung","302-3504439-4672328","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Limbach-Oberfrohna","","09212","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"17.05.2016 14:19:36 GMT+00:00","6744337932","Bestellung","302-2430068-4266742","Lichterkette01","Amorus 5m 50er LED Kleine Farbwechsel Kugel Lichterkette für Weihnachten Partei Hochzeit","1","amazon.de","Amazon","Köln","Nordrhein-Westfalen","51109","6,99","0","0","0","-1,05","-2,41","0","0","3,53"
"17.05.2016 21:15:14 GMT+00:00","6744337932","Bestellung","306-7861980-7796341","FBAwandtattoo09","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Lavendel PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Mülheim an der Ruhr","Nordrhein-Westfalen","45479","9,99","3,00","0","0","-1,50","-7,32","0","0","4,17"
"18.05.2016 08:58:48 GMT+00:00","6744337932","Bestellung","305-7627126-5714701","FBAcaffeemachine01","Amorus Edelstahl Handkaffeemühle Manuelle Kaffeemühle Espressomühle mit Keramikmahlwerk","1","amazon.de","Amazon","Heubach","","73540","14,99","3,00","0","0","-2,25","-4,93","0","0","10,81"
"18.05.2016 18:10:14 GMT+00:00","6744337932","Bestellung","304-5733540-4869946","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","ROSSAU","","09661","39,99","0","0","0","-6,00","-2,98","0","0","31,01"
"19.05.2016 06:09:38 GMT+00:00","6744337932","Bestellung","302-3851841-2389945","FBAdelight03","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Gold","1","amazon.de","Amazon","Bad Vilbel","Hessen","61118","49,99","0","0","0","-7,50","-2,98","0","0","39,51"
"19.05.2016 06:42:59 GMT+00:00","6744337932","Bestellung","304-3242726-6435516","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Ettlingen","","76275","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"19.05.2016 08:55:16 GMT+00:00","6744337932","Bestellung","304-5601377-8347519","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Landsberg am Lech","Bayern","86899","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"19.05.2016 09:16:04 GMT+00:00","6744337932","Bestellung","028-7513541-5655518","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Ochtrup","Nordrhein-Westfalen","48607","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"19.05.2016 15:55:51 GMT+00:00","6744337932","Bestellung","306-4519958-5661911","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Artlenburg","Niedersachsen","21380","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"19.05.2016 16:08:36 GMT+00:00","6744337932","Bestellung","306-4139871-2213137","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Kempten (Allgäu)","Bayern","87439","19,99","3,00","0","0","-3,00","-4,93","0","0","15,06"
"19.05.2016 19:13:43 GMT+00:00","6744337932","Bestellung","306-4845369-4057153","FBAdelight03","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Gold","1","amazon.de","Amazon","Frankfurt (Oder)","Brandenburg","15230","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"19.05.2016 19:54:44 GMT+00:00","6744337932","Bestellung","028-1659134-2393167","Shower Shelves","Amorus® Edelstahl Vacuum-Loc Wandablage für Bad oder Küche Alarmfunktion - 31,5 x 13,5 x 26,5cm","1","amazon.de","Amazon","Köln","Nordrhein-Westfalen","50823","29,99","0","0","0","-4,50","-4,23","0","0","21,26"
"19.05.2016 20:42:38 GMT+00:00","6744337932","Bestellung","302-7544583-5021133","Lichterkette01","Amorus 5m 50er LED Kleine Farbwechsel Kugel Lichterkette für Weihnachten Partei Hochzeit","1","amazon.de","Amazon","ZWENKAU","","04442","6,99","0","0","0","-1,05","-2,41","0","0","3,53"
"19.05.2016 21:11:50 GMT+00:00","6744337932","Bestellung","302-6458443-0850740","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Trier","Rheinland-Pfalz","54294","19,99","3,00","0","0","-3,00","-4,93","0","0","15,06"
"20.05.2016 00:24:47 GMT+00:00","6744337932","Erstattung","305-5655581-5541953","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Erlangen","","91054","-49,99","0","0","0","6,00","0","0","0","-43,99"
"20.05.2016 06:57:56 GMT+00:00","6744337932","Bestellung","306-6613187-1582733","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Blowatz","Mecklenburg-Vorpommern","23974","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"20.05.2016 13:01:29 GMT+00:00","6744337932","Bestellung","304-2446956-4212307","FBAwandtattoo06","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Sakura Paradise PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Reichenbach","","08468","9,99","3,00","0","0","-1,50","-7,32","0","0","4,17"
"20.05.2016 18:19:56 GMT+00:00","6744337932","Bestellung","304-0948738-2975542","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Wendlingen am Neckar","Baden-Württemberg","73240","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"20.05.2016 20:26:00 GMT+00:00","6744337932","Erstattung","303-5296089-9482702","FBAwandtattoo08","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Blumen PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Straußfurt","Thüringen","99634","-12,99","-3,00","0","0","1,56","2,52","0","0","-11,91"
"21.05.2016 10:23:39 GMT+00:00","6744337932","Bestellung","304-0264596-8363511","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Ransbach-Baumbach","Rheinland-Pfalz","56235","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"23.05.2016 09:52:57 GMT+00:00","6744337932","Bestellung","S02-4118705-1345303","FBAdeipcamera","ZMODO® Q Bär Mini drahtlose Wireless Mini 720P HD IP-Kamera-inländisches Wertpapier-Zwei-Wege-Audio - EU-Stecker","1","si-prod-marketplace-de.stores.amazon.de","Amazon","ALICANTE","","03177","0","0","0","0","0","-8,00","0","0","-8,00"
"23.05.2016 09:52:57 GMT+00:00","6744337932","Bestellung","S02-4118705-1345303","FBAdeipcamera","ZMODO® Q Bär Mini drahtlose Wireless Mini 720P HD IP-Kamera-inländisches Wertpapier-Zwei-Wege-Audio - EU-Stecker","1","si-prod-marketplace-de.stores.amazon.de","Amazon","ALICANTE","","03177","0","0","0","0","0","-1,50","0","0","-1,50"
"23.05.2016 09:52:57 GMT+00:00","6744337932","Bestellung","S02-4118705-1345303","","FBA transportation fee","","si-prod-marketplace-de.stores.amazon.de","Amazon","ALICANTE","","03177","0","0","0","0","0","0","0","-1,29","-1,29"
"23.05.2016 11:17:24 GMT+00:00","6752255152","Bestellung","305-4699071-4377921","yogaball01","Amorus Gymnastikball inklusive Fußpumpe,65cm Sitzball Fitnessball Maximalbelastbarkeit bis 100kg, berstsicher","1","amazon.de","Amazon","Essen","Nordrhein-Westfalen","45356","10,99","0","0","0","-1,65","-2,98","0","0","6,36"
"23.05.2016 11:31:41 GMT+00:00","6752255152","Übertrag","","","An Konto mit der Endung:  7177","","","","","","","0","0","0","0","0","0","0","-787,10","-787,10"
"23.05.2016 12:00:04 GMT+00:00","6752255152","Bestellung","302-9230542-0173904","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Grünheide (Mark)","Brandenburg","15537","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"23.05.2016 12:00:53 GMT+00:00","6752255152","Bestellung","028-2877584-6177906","FBAwandtattoo06","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Sakura Paradise PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","Gäufelden","","71126","9,99","0","0","0","-1,50","-4,80","0","0","3,69"
"23.05.2016 12:37:04 GMT+00:00","6752255152","Bestellung","305-0707902-2342714","FBAwandtattoo13","Amorus® Wandtattoo Wandaufkleber Wandsticker Wandbilder PVC Sun Sonnenschein Runder Spiegel Removable DIY Acryl 3D für Schlafzimmer Babyzimmer Wohnzim","1","amazon.de","Amazon","Wuppertal","Nordrhein-Westfalen","42119","5,99","0","0","0","-0,72","-1,72","0","0","3,55"
"23.05.2016 14:02:16 GMT+00:00","6752255152","Bestellung","303-7813396-2817161","MI4Ih¨¹lle01","Amorus 10 x TPU Bumper Schutzhülle Case Cover für Xiaomi Mi 4i Klar Transparent (Xiaomi Mi 4i)","1","amazon.de","Amazon","Syke","Niedersachsen","28857","7,99","0","0","0","-0,96","-2,14","0","0","4,89"
"24.05.2016 07:40:39 GMT+00:00","6752255152","Bestellung","302-3449628-9867561","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Northeim","Niedersachsen","37154","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"24.05.2016 14:54:19 GMT+00:00","6752255152","Bestellung","306-1614811-3738703","FBAdelight01","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Schwarz","1","amazon.de","Amazon","Dortmund","Nordrhein-Westfalen","44147","44,99","6,00","0","0","-6,75","-8,02","0","0","36,22"
"24.05.2016 17:21:07 GMT+00:00","6752255152","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Gebühr für Entsorgung","","","","","","","0","0","0","0","0","0","0","-0,10","-0,10"
"24.05.2016 18:20:11 GMT+00:00","6752255152","Bestellung","028-7837499-9753909","FBAdeipcamera","ZMODO® Q Bär Mini drahtlose Wireless Mini 720P HD IP-Kamera-inländisches Wertpapier-Zwei-Wege-Audio - EU-Stecker","1","amazon.de","Amazon","Remseck am Neckar","Baden-Württemberg","71686","49,99","0","0","0","-6,00","-2,41","0","0","41,58"
"24.05.2016 20:15:21 GMT+00:00","6752255152","Bestellung","303-2782056-3935501","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Frankfurt am Main","Hessen","60433","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"25.05.2016 06:32:13 GMT+00:00","6752255152","Bestellung","302-9860544-1332345","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Göttingen","Niedersachsen","37075","19,99","3,00","0","0","-3,00","-4,93","0","0","15,06"
"25.05.2016 16:36:23 GMT+00:00","6752255152","Bestellung","302-2299242-3744303","FBAcaffeemachine08","Amorus® Handkaffeemühle Manuelle Kaffeemühle Espressomühle Braun","1","amazon.de","Amazon","Bad ischl","oberösterreich","4820","21,99","0","0","0","-3,30","-2,98","0","0","15,71"
"25.05.2016 20:45:56 GMT+00:00","6752255152","Bestellung","305-1259758-1351539","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Berlin","","10787","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"26.05.2016 09:40:27 GMT+00:00","6752255152","Bestellung","028-4574848-4226722","zitronenpresse01","Amorus Zitronenpresse,manuell Haushaltsgeräte Limettenpresse aus Edelstahl Orangenpresse Limonen Saftpressen Zitruspresse Zitronenpresse","1","amazon.de","Amazon","Nordenham","","26954","6,99","0","0","0","-1,05","-2,14","0","0","3,80"
"27.05.2016 07:23:23 GMT+00:00","6752255152","Bestellung","303-1012362-5149105","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Berlin","","10179","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"27.05.2016 08:43:08 GMT+00:00","6752255152","Bestellung","306-9174395-1527509","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Leipzig","Sachsen","04347","19,99","3,00","0","0","-3,00","-4,93","0","0","15,06"
"27.05.2016 17:41:16 GMT+00:00","6752255152","Bestellung","306-2799324-4431563","FBAdelight01","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Schwarz","1","amazon.de","Amazon","Berlin","Berlin","13158","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"27.05.2016 18:34:02 GMT+00:00","6752255152","Bestellung","306-8590630-9613932","yogaball01","Amorus Gymnastikball inklusive Fußpumpe,65cm Sitzball Fitnessball Maximalbelastbarkeit bis 100kg, berstsicher","1","amazon.de","Amazon","Mülheim","NRW","45481","10,99","0","0","0","-1,65","-2,98","0","0","6,36"
"27.05.2016 19:47:19 GMT+00:00","6752255152","Bestellung","306-1131875-2901108","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Hergenroth","Rheinland-Pfalz","56457","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"28.05.2016 16:06:13 GMT+00:00","6752255152","Bestellung","302-9853251-8792361","Gymnastikmatten01","Amorus Yogamatte Pilatesmatte Gymnastikmatten Basic 7mm Thick TPE 183 x 61cm Rose","1","amazon.de","Amazon","Bergen","Bayern","83346","14,99","0","0","0","-2,25","-4,92","0","0","7,82"
"28.05.2016 19:13:32 GMT+00:00","6752255152","Bestellung","305-4746281-0026706","zitronenpresse01","Amorus Zitronenpresse,manuell Haushaltsgeräte Limettenpresse aus Edelstahl Orangenpresse Limonen Saftpressen Zitruspresse Zitronenpresse","1","amazon.de","Amazon","Kummerfeld","Schleswig-Holstein","25495","6,99","0","0","0","-1,05","-2,14","0","0","3,80"
"30.05.2016 06:41:47 GMT+00:00","6752255152","Bestellung","306-4276439-8265960","Lichterkette01","Amorus 5m 50er LED Kleine Farbwechsel Kugel Lichterkette für Weihnachten Partei Hochzeit","1","amazon.de","Amazon","Hochaltingen","","86742","6,99","0","0","0","-1,05","-2,41","0","0","3,53"
"30.05.2016 11:41:39 GMT+00:00","6752255152","Bestellung","303-2758103-7063509","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Würzburg","Bayern","97084","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"30.05.2016 13:50:31 GMT+00:00","6752255152","Bestellung","028-3467480-2702719","goproset3501","Amorus Outdoor Sports Zubehör Kit mit Brust/Kopfband Einbeinstativ für GoPro Hero 4/3+/3/2/1 SJ4000/5000/6000/Xiaomi Yi","1","amazon.de","Amazon","Walsrode","","29664","19,99","3,00","0","0","-3,00","-5,50","0","0","14,49"
"30.05.2016 16:44:25 GMT+00:00","6752255152","Bestellung","305-2923218-5708359","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","1","amazon.de","Amazon","Hamburg","Hamburg","20354","44,99","0","0","0","-6,75","-2,98","0","0","35,26"
"30.05.2016 19:23:02 GMT+00:00","6752255152","Bestellung","304-9201241-8856363","FBAdelight02","Amorus® 3W LED Schreibtischlampe LED Tischleuchte Design-Tischlampe mit Sensorschalter Nachttischlampe für Smartphones-Silber","2","amazon.de","Amazon","Gera","Thüringen","07546","89,98","0","0","0","-13,50","-5,96","0","0","70,52"
"30.05.2016 21:24:28 GMT+00:00","6752255152","Bestellung","305-7052258-5356330","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Siegen","Nordrhein-Westfalen","57072","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"31.05.2016 13:26:26 GMT+00:00","6752255152","Bestellung","305-1612712-3131520","FBAwandtattoo09","Amorus® 3D Stil Fenster Wandtattoo Wandaufkleber Wandsticker Wandbilder Lavendel PVC für Schlafzimmer Wohnzimmer","1","amazon.de","Amazon","calw","","75365","9,99","0","0","0","-1,50","-4,80","0","0","3,69"
"31.05.2016 17:29:53 GMT+00:00","6752255152","Bestellung","303-3738919-3245143","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Dettenhausen","Baden-Württemberg","72135","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"31.05.2016 18:29:24 GMT+00:00","6752255152","Bestellung","302-4139370-1083543","FBAcaffeemachine04","Amorus® French Press Kaffeebereiter Caffettiera Edelstahl Espresso Kaffee 350ML","1","amazon.de","Amazon","Reichertshofen","Bayern","85084","19,99","0","0","0","-3,00","-2,41","0","0","14,58"
"31.05.2016 18:58:15 GMT+00:00","6752255152","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Gebühr für Entsorgung","","","","","","","0","0","0","0","0","0","0","-2,10","-2,10"
"31.05.2016 19:17:59 GMT+00:00","6752255152","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Gebühr für Entsorgung","","","","","","","0","0","0","0","0","0","0","-1,10","-1,10"
"31.05.2016 19:58:55 GMT+00:00","6752255152","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Gebühr für Entsorgung","","","","","","","0","0","0","0","0","0","0","-2,90","-2,90"
